id,text,label,topic,probability
0,看完2日总统大选民调 吴子嘉指：国民党缺“这两种票” 2024年总统大选三脚督确定，根据《美丽岛电子报》2日公布的最新民调，民进党“赖萧配”支持度为37.8%、国民党“侯康配”为29.5%、民众党“柯盈配”则为17.7%。对此，《美丽岛电子报》董事长吴子嘉表示，国民党现在缺的就是年轻票和中间选民票。,政治,4,0.98005086
1,开战？贺中华队在大巨蛋夺首胜 侯友宜酸爆柯文哲 台北大巨蛋3日举行首场赛事，中华队大胜韩国，嗨翻全台球迷。国民党总统参选人侯友宜深夜发文，猛酸前台北市长、民众党总统参选人柯文哲拖了8年，还把大巨蛋冠为五大弊案之首，反观蒋万安用1年就解决，证明治理城市为政者魄力、执行力有多关键，“只会提出问题，甚至制造问题”，永远无济于事，解决民众的需求，才是我们心中最重要的事。,政治,4,0.9862114
2,不是刮水器！专家推“1神器”不怕厕所发霉：地板和毛巾秒乾 进入冬天后，容易有多日大雨、天气潮湿的情况，家裡最潮湿的地方往往就是浴室，如果平常没有做好清洁，很容易就导致发霉，让人相当头痛。有网友好奇“真的有人每天洗完澡刮水吗？”，结果钓出一片过来人表示，真的有刮差很多，赏屋专家Ted也建议加装一台“多功能智慧除湿机”，使用沸石除湿，除了乾的速度很快，还能感受到是“舒服的乾”。,生活,6,0.986006
3,影／回应国籍争议 萧美琴：从未放弃中华民国国籍 没有回复的问题 对于国籍争议，民进副总统参选人萧美琴上午表示，竞总在催促她回来参选之前，她就请竞总要把身分都查清楚，“有问题就要赶快找别人”，竞总从头到尾都查得很清楚，大家都很有信心促成“赖萧配”。,政治,11,0.8773103
4,萧美琴爆回复国籍争议 蓝绿交锋 蓝营：萧若回复国籍不得参选 民进党副总统参选人萧美琴国籍问题成大选焦点。国民党台北市议员王欣仪昨指出，萧美琴二○○二年才取得中华民国身分证，质疑是否有“回复国籍”问题？参选立委的北市议员游淑慧也说，根据总统副总统选罢法规定，曾丧失或放弃国籍都不符参选资格，想问萧美琴曾丧失过中华民国国籍吗？目前国籍是回复而来的吗？更喊话“内政部、中选会敢查吗？”,政治,4,0.8619648
5,亚锦赛／第二天大巨蛋场内下小雨原因曝 蒋万安诺：即刻处理 亚洲棒球亚锦赛昨天在台北大巨蛋拉开序幕，观众对于台湾第一座室内棒球场给予高评价，不过今天下午进行亚锦赛时，却有民众发现场内有漏水状况，议员要求尽快处理不要让台北市“漏气”，市长蒋万安也允诺，今天会即刻处理，远雄说明，因施工过程管线接合不慎产生间隙，导致从接合处渗漏，,体育,2,0.9853499
7,亚锦赛／封徐若熙“154公里怪物”韩媒：连续被台湾投手压制 徐若熙在亚锦赛开幕战缴出7局10K无失分的完美表现，助中华队以4：0完封南韩。韩媒也不禁感叹，从杭州亚运开始，都被中华队“怪物投手”压制。,体育,4,0.97158724
8,影／比蒋万安预期快 台北大巨蛋1.7万人散场仅花25分钟 亚洲棒球锦标赛首场比赛今天登场，由中华队对上韩国队，终场中华队以4比0击败韩国队，比赛仅花费2个半小时，吸引1万6647人入场观赛，进散场动线都相当顺畅，散场仅花费25分钟，比市长蒋万安预估的30至45分钟还快，球迷对于巨蛋评价也相当高，期待未来有更多比赛于此举行。,体育,11,0.98383486
9,大巨蛋意外成选战议题…蒋万安贴一张照片 网讚：比柯P强百倍 台北大巨蛋昨晚亚锦赛开幕战中韩大战，中华队以四比零完胜韩国队，拿到今年亚锦赛首胜，台北市长蒋万安昨天深夜也在脸书留言区贴出昨晚中韩大战，与当年球迷喊我们要巨蛋“龙狮大战”的老球员一起在看台看球合照，并贴文说“和当年拚战的球员一起在大巨蛋看球赛，格外有意义！”,体育,15,0.98660606
10,中职／当年兄弟没抽中籤王  今签下陈俊秀将衝击许基宏 今年球季结束陈俊秀行使FA自由球员权利，根据媒体报导，他已经与中信兄弟高层见面洽谈，近期可望宣布加盟黄衫军，消息一出震撼球界，不禁让人感叹命运好好玩。,体育,13,0.9786905
